en,ru
A map is a drawing that shows all or part of the earth’s surface.,"Карта представляет собой изображение, которое показывает всю или часть земной поверхности."
The simplest maps show at least the major land and water areas of the earth.,"Самые простые карты показывают, по крайней мере, основные направления земельных и водных ресурсов Земли."
"Most maps show other things as well, such as cities, rivers, mountains, and roads.","Карты показывают различнные данные, например города, реки, горы и дороги."
"Population, vegetation, or rainfall can also be shown on maps.","Население, растительность, или количество осадков также может быть показано на карте."
"In fact, there are as many different kinds of maps as there are reasons for using them.","Существует много различных видов карт, и есть все основания для их использования."
Directions are easy to find on a map.,На карте легко найти нужный путь.
Most maps are printed so that north is toward the top of the page.,"Большинство карт напечатаны так, что север в направлении верхней части страницы."
Many maps also have an arrow that tells you where north is.,"Многие карты имеют стрелку, которая показывает где север."
"If you know which direction is north, you can easily find the other directions.","Если вы знаете, в каком направлении находится север, вы можете легко найти и другие направления."
South is the direction opposite from north.,Юг в противоположном направлении от севера.
"East is to the right as you face north, and west is to the left.","Если смотреть на север, то восток находится справа, а запад — слева."
Information shown on a map is indicated by symbols.,Информация на карте обозначается символами.
A symbol is something that stands for something else.,"Символ — это то, что обозначает что-либо на карте."
"Commonly used symbols are dots, particular kids of lines, certain shapes, and numbers.","Обычно используются точки, разные виды линий, определенные фигуры и числа."
No map is as large as the area it represents.,Нет карт в натуральную величину.
How much smaller the map is than the actual area is indicated by the scale.,"Масштаб показывает, насколько карта меньше натуральной величины."
Scale is relative size.,Размер масштаба относительный.
Many maps use a scale bar to indicate scale.,Многие карты для обозначения масштаба используют линейку.
A scale bar is a bar or line.,"Она показывает, сколько футов, миль или километров на земле имеет представленное определенное расстояние на карте."
Sometimes a main map will have an Inset map in one of its corners.,Иногда основная карта имеет мини-карту в одном из углов.
The inset map may be an area larger than that of the main map.,"На мини-карте может быть площадь больше, чем у основной карты."
"In this case, the inset map shows you the area of the main map in relation to the surrounding area.",В этом случае мини-карта показывает область окрестностей основной карты.
An inset map may also show a small part of the main map in greater details.,На мини-карте может быть также небольшая часть основной карты более подробно.
